INFO |2018-07-12 10:36:11.600 [nioEventLoopGroup-3-4 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- ===============================================
INFO |2018-07-12 10:36:11.600 [nioEventLoopGroup-3-4 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- 
INFO |2018-07-12 10:36:11.600 [nioEventLoopGroup-3-4 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- 
INFO |2018-07-12 10:36:19.095 [nioEventLoopGroup-3-5 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- ==================recevive GetUpdatedInformation begin:terminalAddress:0002000120171120=============================
INFO |2018-07-12 10:36:19.096 [nioEventLoopGroup-3-5 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- receive updatedInfo:RgmPacket{lineList=null, terminalAddress='0002000120171120', command='getUpdatedInformation', data={0&getUpdatedInformation={version=1.4.153, terminalTime=18/7/12 10:36:17 4}}}
INFO |2018-07-12 10:36:19.100 [nioEventLoopGroup-3-5 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- the cloudVersion of localCache is 1.2.3,the terminalVersion is 1.4.153
INFO |2018-07-12 10:36:19.100 [nioEventLoopGroup-3-5 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- response updatedInfo:RgmPacket{lineList=[0], terminalAddress='0002000120171120', command='deny', data={}}
INFO |2018-07-12 10:36:19.100 [nioEventLoopGroup-3-5 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- ===============================================
INFO |2018-07-12 10:36:19.100 [nioEventLoopGroup-3-5 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- 
INFO |2018-07-12 10:36:19.100 [nioEventLoopGroup-3-5 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- 
INFO |2018-07-12 10:36:21.133 [nioEventLoopGroup-3-6 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- ==================recevive GetUpdatedInformation begin:terminalAddress:0005001101042113=============================
INFO |2018-07-12 10:36:21.133 [nioEventLoopGroup-3-6 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- receive updatedInfo:RgmPacket{lineList=null, terminalAddress='0005001101042113', command='getUpdatedInformation', data={0&getUpdatedInformation={version=1.4.1, terminalTime=18/7/12 10:36:18 4}}}
INFO |2018-07-12 10:36:21.137 [nioEventLoopGroup-3-6 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- the cloudVersion of localCache is null,the terminalVersion is 1.4.1
INFO |2018-07-12 10:36:21.137 [nioEventLoopGroup-3-6 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- response updatedInfo:RgmPacket{lineList=[0], terminalAddress='0005001101042113', command='deny', data={}}
INFO |2018-07-12 10:36:21.137 [nioEventLoopGroup-3-6 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- ===============================================
INFO |2018-07-12 10:36:21.137 [nioEventLoopGroup-3-6 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- 
INFO |2018-07-12 10:36:21.138 [nioEventLoopGroup-3-6 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- 
INFO |2018-07-12 10:36:22.860 [nioEventLoopGroup-3-7 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- ==================recevive GetUpdatedInformation begin:terminalAddress:0002000100010296=============================
INFO |2018-07-12 10:36:22.861 [nioEventLoopGroup-3-7 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- receive updatedInfo:RgmPacket{lineList=null, terminalAddress='0002000100010296', command='getUpdatedInformation', data={0&getUpdatedInformation={version=1.2.6, terminalTime=18/7/12 10:36:20 4}}}
INFO |2018-07-12 10:36:22.865 [nioEventLoopGroup-3-7 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- the cloudVersion of localCache is null,the terminalVersion is 1.2.6
INFO |2018-07-12 10:36:22.865 [nioEventLoopGroup-3-7 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- response updatedInfo:RgmPacket{lineList=[0], terminalAddress='0002000100010296', command='deny', data={}}
INFO |2018-07-12 10:36:22.865 [nioEventLoopGroup-3-7 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- ===============================================
INFO |2018-07-12 10:36:22.866 [nioEventLoopGroup-3-7 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- 
INFO |2018-07-12 10:36:22.866 [nioEventLoopGroup-3-7 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- 
INFO |2018-07-12 10:36:28.056 [nioEventLoopGroup-3-8 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- ==================recevive GetUpdatedInformation begin:terminalAddress:0005001101138903=============================
